No.,SUSTANCIA,FORMULA,A,B,C,Tmin,Tmax
361,"2,2,3,3-tetrametilbutano",C8H18,6.87665,1329.93,226.36,103,133
362,Butil-éter,C8H18O,6.9825,1431.5,207.01,32,182
363,sec-butil-éter,C8H18O,6.79153,1348.53,223.79,57,149
364,terc-butil-éter,C8H18O,6.93294,1348.533,223.79,4,109
365,Alcohol-octílico,C8H18O,6.837,1310.62,136.06,70,195
366,Sulfuro-de-butilo,C8H18S,6.54589,1421.32,205.81,106,215
367,Sulfuro-de-etilhexilo,C8H18S,6.42693,1421.32,205.81,115,231
368,Heptil-metil-sulfuro,C8H18S,6.42693,1421.32,205.81,115,231
369,Sulfuro-de-pentilo-propilo,C8H18S,6.42693,1421.32,205.81,115,231
370,1-octanethiol,C8H18S,6.96909,1593,190.61,76,229
371,Disulfuro-de-butilo,C8H18S2,6.9638,1684.1,181.3,101,263
372,Alfa-metilestireno,C9H10,7.0924,1582.7,206.01,75,220
373,"Propenilbenceno,cis",C9H10,7.44961,1909.083,238.874,18,179
374,"Propenilbenceno,trans",C9H10,7.54993,1909.08,238.87,105,197
375,m-metilestireno,C9H10,6.87928,1471.44,200,72,250
376,o-metilestireno,C9H10,6.88461,1485.41,200,75,255
377,p-metilestireno,C9H10,7.0112,1535.1,200.7,68,170
378,Propilbenceno,C9H12,6.95142,1491.297,207.14,43,188
379,Cumeno,C9H12,6.93666,1460.793,207.777,38,181
380,m-etiltolueno,C9H12,7.01582,1529.184,208.509,46,190
381,o-etiltolueno,C9H12,7.00314,1535.374,207.3,48,194
382,p-etiltolueno,C9H12,6.99802,1527.113,208.921,46,191
383,"1,2,3-trimetilbenceno",C9H12,7.04082,1593.958,207.078,57,205
384,"1,2,4-trimetilbenceno",C9H12,7.04383,1573.267,208.564,52,198
385,Mesitileno,C9H12,7.07436,1569.622,209.578,49,193
386,1-nonina,C9H16,6.7741,1404.7,210,50,223
387,1-noneno,C9H18,6.95387,1435.359,205.535,36,174
388,Butilciclopentano,C9H18,6.89935,1457.08,205.99,41,185
389,Propilciclohexano,C9H18,6.88646,1460.8,207.939,40,186
390,c-c-135trimetilciclohexano,C9H18,7.09743,1460.8,207.93,78,164
391,c-t-135trimetilciclohexano,C9H18,7.07274,1460.8,207.93,80,166
392,Nonanal,C9H18O,7.81505,2036.854,227.486,33,185
393,Nonano,C9H20,6.9344,1429.46,201.82,39,179
394,2-metiloctano,C9H20,6.91191,1398.42,203.65,33,171
395,3-metiloctano,C9H20,6.9092,1405.8,204.76,33,172
396,4-metiloctano,C9H20,6.90318,1399.12,205.41,32,170
397,3-etilheptano,C9H20,6.90489,1406.5,206.5,32,171
398,4-etilheptano,C9H20,6.89898,1399.8,207.2,30,169
399,"2,2-dimetilheptano",C9H20,6.88174,1363.91,208.21,24,160
400,"2,3-dimetilheptano",C9H20,6.87635,1389.5,207.3,29,168
401,"2,4-dimetilheptano",C9H20,6.90252,1368.72,207.44,24,160
402,"2,5-dimetilheptano",C9H20,6.89317,1375.4,206.8,27,163
403,"2,6-dimetilheptano",C9H20,6.89385,1368,205.68,26,162
404,"3,3-dimetilheptano",C9H20,6.87553,1385.36,209.79,26,165
405,"3,4-dimetilheptano",C9H20,6.88359,1396.9,208.4,29,168
406,"3,5-dimetilheptano",C9H20,6.90164,1382.8,207.9,26,163
407,"4,4-dimetilheptano",C9H20,6.86968,1378.7,210.4,24,163
408,3-etil-2-metilhexano,C9H20,6.8869,1390.2,209,27,166
409,4-etil-2-metilhexano,C9H20,6.9003,1376.1,208.6,25,161
410,3-etil-3-metilhexano,C9H20,6.87787,1406.8,211.4,28,169
411,3-etil-4-metilhexano,C9H20,6.8943,1404.3,209.5,29,168
412,"2,2,3-trimetilhexano",C9H20,6.86574,1375.72,211.63,23,161
413,"2,2,4-trimetilhexano",C9H20,6.84922,1340.9,211.35,18,154
414,"2,2,5-trimetilhexano",C9H20,6.83531,1324.049,210.737,16,151
415,"2,3,3-trimetilhexano",C9H20,6.85417,1389.79,212.1,25,166
416,"2,3,4-trimetilhexano",C9H20,6.85274,1387.22,210.22,27,167
417,"2,3,5-trimetilhexano",C9H20,6.87078,1359.09,209.29,22,159
418,"2,4,4-trimetilhexano",C9H20,6.85163,1368.723,214.047,20,158
419,"3,3,4-trimetilhexano",C9H20,6.85761,1403.88,212.56,27,169
420,"3,3-dietilpentano",C9H20,6.89262,1451.245,215.575,31,175
421,"3-etil-2,2-dimetilpentano",C9H20,6.87166,1383.13,212.75,23,162
422,"3-etil-2,3-dimetilpentano",C9H20,6.84463,1418,213,30,174
423,"3-etil-2,4-dimetilpentano",C9H20,6.85293,1380.54,210.87,25,165
424,"2,2,3,3-tetrametilpentano",C9H20,6.82876,1397.483,213.703,26,169
425,"2,2,3,4-tetrametilpentano",C9H20,6.83173,1374.042,214.762,21,161
426,"2,2,4,4-tetrametilpentano",C9H20,6.7971,1325.183,216.093,13,150
427,"2,3,3,4-tetrametilpentano",C9H20,6.85961,1417.473,214.705,27,170
428,Nonil-alcohol,C9H20O,6.6757,1276.63,123.06,90,214
429,Butil-pentil-sulfuro,C9H20S,6.23448,1421.32,205.81,129,258
430,Etil-heptil-sulfuro,C9H20S,6.23448,1421.32,205.81,129,258
431,Hexil-propil-sulfuro,C9H20S,6.23448,1421.32,205.81,129,258
432,Metil-octil-sulfuro,C9H20S,6.23448,1421.32,205.81,129,258
433,1-nonanotiol,C9H20S,6.9839,1655.6,183.7,93,251
434,Naftaleno,C10H8,7.01065,1733.71,201.859,87,250
435,Azuleno,C10H8,6.7868,1733.71,201.85,160,278
436,Butilbenceno,C10H14,6.98317,1577.965,201.378,62,213
437,m-dietilbenceno,C10H14,7.0036,1575.31,200.96,61,211
438,o-dietilbenceno,C10H14,6.9878,1576.94,200.51,63,213
439,p-dietilbenceno,C10H14,6.9982,1588.31,201.97,63,214
440,"1,2,3,4-tetrametilbenceno",C10H14,7.0594,1690.54,199.48,80,236
441,"1,2,3,5-tetrametilbenceno",C10H14,7.0779,1675.43,201.14,75,228
442,"1,2,4,5-tetrametilbenceno",C10H14,7.08,1672.43,201.43,74,227
443,1-decena,C10H18,7.1087,1606.6,206,78,246
444,"Decahidronaftaleno,cis",C10H18,6.87529,1594.46,203.392,68,228
445,"Decahidronaftaleno,trans",C10H18,6.85681,1564.683,206.259,61,219
446,1-deceno,C10H20,6.96034,1501.872,197.578,54,199
447,1-ciclopentilpentano,C10H20,6.9414,1540.6,198.8,60,210
448,Butilciclohexano,C10H20,6.9103,1538.518,200.833,59,211
449,Decanal,C10H20O,8.20794,2378.316,237.905,52,209
450,Decano,C10H22,6.96375,1508.75,195.374,58,203
451,2-metilnonano,C10H22,6.93372,1472.73,196.38,52,196
452,3-metilnonano,C10H22,6.92975,1479.1,197.5,52,197
453,4-metilnonano,C10H22,6.92234,1471,198.3,50,194
454,5-metilnonano,C10H22,6.91878,1468.4,198.5,50,194
455,3-etiloctano,C10H22,6.91845,1477.4,199.4,50,195
456,4-etiloctano,C10H22,6.90922,1466.68,200.44,48,192
457,"2,2-dimetiloctano",C10H22,6.90617,1439.6,200.7,43,185
458,"2,3-dimetiloctano",C10H22,6.89449,1462.22,200,48,193
459,"2,4-dimetiloctano",C10H22,6.92146,1439.8,200.4,43,184
460,"2,5-dimetiloctano",C10H22,6.90263,1442.5,200.2,44,187
461,"2,6-dimetiloctano",C10H22,6.93331,1450.53,199.4,45,187
462,"2,7-dimetiloctano",C10H22,6.91326,1444.19,198.27,46,188
463,"3,3-dimetiloctano",C10H22,6.88895,1457.6,202.5,45,190
464,"3,4-dimetiloctano",C10H22,6.89926,1465.9,201.4,47,192
465,"3,5-dimetiloctano",C10H22,6.89758,1448.8,201.3,44,188
466,"3,6-dimetiloctano",C10H22,6.91284,1456.9,200.5,46,189
467,"4,4-dimetiloctano",C10H22,6.88891,1446.9,203.5,42,186
468,"4,5-dimetiloctano",C10H22,6.89288,1460.52,201.9,46,191
469,4-propilheptano,C10H22,6.9471,1458.7,201.2,44,186
470,4-isopropilheptano,C10H22,6.88757,1449.8,202.9,43,188
471,3-etil-2-metilheptano,C10H22,6.89294,1457.9,202.2,45,190
472,4-etil-2-metilheptano,C10H22,6.892,1438.2,202.3,42,185
473,5-etil-2-metilheptano,C10H22,6.89424,1448.8,201.3,44,188
474,3-etil-3-metilheptano,C10H22,6.88063,1472.9,204.5,46,193
475,4-etil-3-metilheptano,C10H22,6.88689,1464.2,203.3,45,191
476,3-etil-5-metilheptano,C10H22,6.91593,1455.2,202.4,44,187
477,3-etil-4-metilheptano,C10H22,6.88827,1466.8,203,46,192
478,4-etil-4-metilheptano,C10H22,6.88302,1464.9,205.2,44,190
479,"2,2,3-trimetilheptano",C10H22,6.87507,1446.1,204.4,42,187
480,"2,2,4-trimetilheptano",C10H22,6.87525,1409.4,204.5,35,177
481,"2,2,5-trimetilheptano",C10H22,6.87855,1417.4,203.8,37,179
482,"2,2,6-trimetilheptano",C10H22,6.89454,1411.09,202.63,37,177
483,"2,3,3-trimetilheptano",C10H22,6.87202,1457.8,205,43,189
484,"2,3,4-trimetilheptano",C10H22,6.87417,1451.7,203.6,44,189
485,"2,3,5-trimetilheptano",C10H22,6.8399,1440,203,44,190
486,"2,3,6-trimetilheptano",C10H22,6.88668,1433.7,201.9,42,184
487,"2,4,4-trimetilheptano",C10H22,6.86062,1418.4,205.4,37,180
488,"2,4,5-trimetilheptano",C10H22,6.87583,1437.3,203.3,41,185
489,"2,4,6-trimetilheptano",C10H22,6.91395,1411.3,202.3,36,175
490,"2,5,5-trimetilheptano",C10H22,6.88204,1429.09,204.36,39,181
491,"3,3,4-trimetilheptano",C10H22,6.86861,1466.8,205.9,44,191
492,"3,3,5-trimetilheptano",C10H22,6.85524,1435.43,205.49,40,185
493,"3,4,4-trimetilheptano",C10H22,6.86721,1464.1,206.2,43,190
494,"3,4,5-trimetilheptano",C10H22,6.87113,1463.4,204.2,45,192
495,3-isopropil-2-metilhexano,C10H22,6.76103,1441,204.7,45,197
496,"3,3-diethylhexano",C10H22,6.88355,1490.9,206.2,47,196
497,"3,4-diethylhexano",C10H22,6.88347,1473.2,204.2,46,193
498,"3-etil-2,2-dimetilhexano",C10H22,6.86594,1444.4,206.4,40,185
499,"4-etil-2,2-dimetilhexano",C10H22,6.89526,1416,206,34,175
500,"3-etil-2,3-dimetilhexano",C10H22,6.86128,1475.8,206.8,45,194
501,"4-etil-2,3-dimetilhexano",C10H22,6.86823,1458,204.7,44,190
502,"3-etil-2,4-dimetilhexano",C10H22,6.86682,1455.3,205,43,189
503,"4-etil-2,4-dimetilhexano",C10H22,6.86721,1464.1,206.2,43,190
504,"3-etil-2,5-dimetilhexano",C10H22,6.87155,1429.3,204.1,39,183
505,"4-etil-3,3-dimetilhexano",C10H22,6.86288,1473.1,207,44,193
506,"3-etil-3,4-dimetilhexano",C10H22,6.86148,1470.4,207.3,44,192
507,"2,2,3,3-tetrametilhexano",C10H22,6.84438,1464.03,209.06,41,190
508,"2,2,3,4-tetrametilhexano",C10H22,6.8241,1443.6,207.3,41,188
509,"2,2,3,5-tetrametilhexano",C10H22,6.87685,1417.6,206.3,35,177
510,"2,2,4,4-tetrametilhexano",C10H22,6.73151,1396,208.7,35,184
511,"2,2,4,5-tetrametilhexano",C10H22,6.83561,1400.55,206.26,34,176
512,"2,2,5,5-tetrametilhexano",C10H22,6.88124,1377.98,207,27,165
513,"2,3,3,4-tetrametilhexano",C10H22,6.84243,1474.94,207.72,45,195
514,"2,3,3,5-tetrametilhexano",C10H22,6.85043,1429.2,206.9,37,182
515,"2,3,4,4-tetrametilhexano",C10H22,6.8294,1457.9,207.6,42,191
516,"2,3,4,5-tetrametilhexano",C10H22,6.87156,1442.8,205.3,40,185
517,"3,3,4,4-tetrametilhexano",C10H22,6.81164,1492.7,209.7,47,201
518,"2,4dimetil-3-isopropilpentano",C10H22,6.82154,1432.15,206.38,40,186
519,"3,3--dietil-2-metilpentano",C10H22,6.85984,1501.8,207.7,49,200
520,"3-etil-2,2,3-trimetilpentano",C10H22,6.8071,1490.1,210,47,200
521,"3-etil-2,2,4-trimetilpentano",C10H22,6.83149,1435.6,208.1,38,185
522,"3-etil-2,3,4-trimetilpentano",C10H22,6.81616,1486.62,208.32,47,200
523,"2,2,3,3,4-pentametilpentano",C10H22,6.79659,1474.89,210.6,44,197
524,"2,2,3,4,4-pentametilpentano",C10H22,6.73273,1423.83,210.35,38,190
525,Decil-alcohol,C10H22O,6.9224,1472.01,134.16,103,230
526,Sulfuro-de-butilhexilo,C10H22S,6.06898,1421.32,205.81,143,285
527,Etil-octil-sulfuro,C10H22S,6.06898,1421.32,205.81,143,285
528,Heptil-propil-sulfuro,C10H22S,6.06898,1421.32,205.81,143,285
529,Metil-nonil-sulfuro,C10H22S,6.06898,1421.32,205.81,143,285
530,Sulfuro-de-pentilo,C10H22S,6.06898,1421.32,205.81,143,285
531,1-decanotiol,C10H22S,6.9981,1713.6,177,109,271
532,Disulfuro-de-pentilo,C10H22S2,6.9581,1756,166.8,128,298
533,1-metilnaftaleno,C11H10,7.03592,1826.948,195.002,108,278
534,2-metilnaftaleno,C11H10,7.0685,1840.268,198.395,105,274
535,Pentilbenceno,C11H16,6.97833,1639.91,194.76,80,237
536,Pentametilbenceno,C11H16,7.1376,1833.8,198.96,125,270
537,1-undecyne,C11H20,7.13064,1687.2,202,80,267
538,1-undeceno,C11H22,6.96662,1562.469,189.743,72,222
539,1-ciclopentilhexano,C11H22,6.9548,1608,191.6,78,234
540,Pentilciclohexano,C11H22,6.94667,1619.11,194.51,78,235
541,Undecano,C11H24,6.9722,1569.57,187.7,75,226
542,Alcohol-undecílico,C11H24O,6.5271,1250,100,120,243
543,Butil-heptil-sulfuro,C11H24S,5.9321,1421.32,205.81,155,309
544,Decil-metil-sulfuro,C11H24S,5.9321,1421.32,205.81,155,309
545,Etil-nonil-sulfuro,C11H24S,5.9321,1421.32,205.81,155,309
546,Sulfuro-de-octil-propilo,C11H24S,5.9321,1421.32,205.81,155,309
547,1-undecanotiol,C11H24S,7.0122,1767.4,170.4,124,290
548,Bifenilo,C12H10,7.2454,1998.72,202.74,70,272
549,1-etilnaftaleno,C12H12,7.03159,1841.32,185.28,120,292
550,2-etilnaftaleno,C12H12,7.07566,1880.73,191.41,118,291
551,"1,2-dimetilnaftaleno",C12H12,7.00605,1805.31,171.37,129,269
552,"1,3-dimetilnaftaleno",C12H12,7.2698,2076,210,148,310
553,"1,4-dimetilnaftaleno",C12H12,7.2698,2076,210,148,310
554,"1,5-dimetilnaftaleno",C12H12,7.0493,1855,180,150,313
555,"1,6-dimetilnaftaleno",C12H12,7.2698,2076,210,148,310
556,"1,7-dimetilnaftaleno",C12H12,7.0564,1879,180,150,320
557,"2,3-dimetilnaftaleno",C12H12,7.0527,1869,180,155,315
558,"2,6-dimetilnaftaleno",C12H12,7.046,1841,180,150,310
559,"2,7-dimetilnaftaleno",C12H12,7.0478,1846,180,150,310
560,Hexilbenceno,C12H18,6.9853,1700.5,188.2,96,258
561,"1,2,3-trietilbenceno",C12H18,7.58877,2133.55,235.68,146,247
562,"1,2,4-trietilbenceno",C12H18,7.57869,2133.558,235.681,46,218
563,"1,3,5-trietilbenceno",C12H18,7.6044,2133.55,235.68,145,246
564,Hexametilbenceno,C12H18,7.15544,2133.55,235.68,178,300
565,1-dodeceno,C12H22,7.16929,1771.1,198,113,288
566,1-dodeceno,C12H24,6.97522,1619.862,182.271,89,244
567,1-ciclopentilheptano,C12H24,6.9743,1672.2,184.4,95,256
568,1-ciclohexilhexano,C12H24,6.9555,1681,187.8,94,257
569,Dodecano,C12H26,6.99795,1639.27,181.835,91,247
570,Dodecil-alcohol,C12H26O,7.53986,2003.29,168.13,138,214
571,Butil-octil-sulfuro,C12H26S,6.629,1408,116.06,134,307
572,Decil-etil-sulfuro,C12H26S,5.81251,1421.32,205.81,166,333
573,Hexilsulfuro,C12H26S,5.81251,1421.32,205.81,166,333
574,Metil-undecyl-sulfuro,C12H26S,5.81251,1421.32,205.81,166,333
575,Nonil-propil-sulfuro,C12H26S,5.81251,1421.32,205.81,166,333
576,1-dodecanotiol,C12H26S,7.0244,1817.8,164.1,138,308
577,Hexil-disulfuro,C12H26S2,6.9632,1824.9,153.5,153,328
578,1-propilnaftaleno,C13H14,7.0594,1890.8,180,155,335
579,2-propilnaftaleno,C13H14,7.0605,1895.5,180,160,335
580,2-etil-3-metilnaftaleno,C13H14,7.02851,1895.5,180,196,312
581,2-etil-6-metilnaftaleno,C13H14,7.09303,1895.5,180,192,303
582,2-etil-7-metilnaftaleno,C13H14,7.09303,1895.5,180,192,303
583,1-fenilheptano,C13H20,7.0006,1761.2,181.5,112,279
584,1-tridecina,C13H24,7.15674,1834.4,195,120,308
585,1-trideceno,C13H26,6.98563,1674.741,175.214,105,264
586,1-ciclopentiloctano,C13H26,6.9896,1729.8,177.3,112,276
587,1-ciclohexilheptano,C13H26,6.9743,1743,180.9,111,278
588,Tridecano,C13H28,7.00756,1690.67,174.22,107,267
589,1-tridecanol,C13H28O,7.41181,2003.29,168.13,202,304
590,Butil-nonil-sulfuro,C13H28S,5.70756,1421.32,205.81,177,355
591,Decil-propil-sulfuro,C13H28S,5.70756,1421.32,205.81,177,355
592,Dodecilmetilsulfuro,C13H28S,5.70756,1421.32,205.81,177,355
593,Etil-undecil-sulfuro,C13H28S,5.70756,1421.32,205.81,177,355
594,1-tridecanotiol,C13H28S,7.037,1864.9,157.9,151,325
595,1-butilnaftaleno,C14H16,4.9631,656.8,26,139,292
596,2-butilnaftaleno,C14H16,6.6117,1591.4,138.5,145,291
597,1-feniloctano,C14H22,7.0086,1812.2,174.6,127,298
598,"1,2,3,4-tetraetilbenceno",C14H22,7.65632,2312.864,236.261,66,248
599,"1,2,3,5-tetraetilbenceno",C14H22,7.63235,2312.86,236.26,174,282
600,"1,2,4,5-tetraetilbenceno",C14H22,7.63723,2312.86,236.26,174,282
601,1-tetradecina,C14H26,7.23227,1927.7,191,145,326
602,1-tetradeceno,C14H28,7.02005,1745.001,170.475,119,283
603,1-ciclopentilnonano,C14H28,6.996,1779,170.2,126,296
604,1-ciclohexiloctano,C14H28,6.9897,1799.3,174.3,126,298
605,Tetradecano,C14H30,7.013,1740.88,167.72,122,286
606,1-tetradecanol,C14H30O,6.6741,1204.5,54,130,264
607,Butil-decil-sulfuro,C14H30S,5.61512,1421.32,205.81,187,376
608,Dodecil-etil-sulfuro,C14H30S,5.61512,1421.32,205.81,187,376
609,Sulfuro-de-heptilo,C14H30S,5.61512,1421.32,205.81,187,376
610,Metil-tridecil-sulfuro,C14H30S,5.61512,1421.32,205.81,187,376
611,Propil-undecil-sulfuro,C14H30S,5.61512,1421.32,205.81,187,376
612,1-tetradecanotiol,C14H30S,7.0485,1909.2,151.9,164,341
613,Heptil-disulfuro,C14H30S2,6.9602,1878.6,139.8,175,357
614,1-pentilnaftaleno,C15H18,7.0743,2000,170,185,360
615,2-pentilnaftaleno,C15H18,7.06,2005.9,170,190,370
616,1-fenilnonano,C15H24,7.0245,1862.6,167.5,142,316
617,1-pentadecilo,C15H28,7.20553,1972.07,188,140,349
618,1-pentadeceno,C15H30,7.01555,1781.974,162.582,134,302
619,1-ciclopentildecano,C15H30,7.00349,1825.748,163.479,141,314
620,1-ciclohexilnonano,C15H30,7.0006,1850.2,167.6,141,316
621,Pentadecano,C15H32,7.02359,1789.95,161.38,136,304
622,1-pentadecanol,C15H32O,6.23737,1204.5,54,230,339
623,Butil-undecil-sulfuro,C15H32S,5.53347,1421.32,205.81,196,397
624,Dodecil-propil-sulfuro,C15H32S,5.53347,1421.32,205.81,196,397
625,Etil-tridecil-sulfuro,C15H32S,5.53347,1421.32,205.81,196,397
626,Metil-tetradecil-sulfuro,C15H32S,5.53347,1421.32,205.81,196,397
627,1-pentadecanotiol,C15H32S,7.0612,1951,146,176,356
628,1-fenildecano,C16H26,7.03642,1904.132,160.318,155,333
629,Pentaetilbenceno,C16H26,8.29495,2972.77,272.052,86,277
630,1-hexadecilo,C16H30,7.47511,2154.7,185,172,367
631,1-hexadeceno,C16H32,7.04437,1843.581,157.917,147,319
632,1-ciclopentilundecano,C16H32,7.02,1869.2,156,154,330
633,1-ciclohexildecano,C16H32,7.01852,1899.242,161.348,154,333
634,Hexadecano,C16H34,7.02867,1830.51,154.45,149,321
635,1-hexadecanol,C16H34O,6.1586,1380,91,145,190
636,Butil-dodecil-sulfuro,C16H34S,5.46123,1421.32,205.81,204,416
637,Etil-tetradecil-sulfuro,C16H34S,5.46123,1421.32,205.81,204,416
638,Metil-pentadecil-sulfuro,C16H34S,5.46123,1421.32,205.81,204,416
639,Sulfuro-de-octilo,C16H34S,5.46123,1421.32,205.81,204,416
640,Propil-tridecil-sulfuro,C16H34S,5.46123,1421.32,205.81,204,416
641,1-hexadecanotiol,C16H34S,7.075,1990,140,188,370
642,Bisulfuro-de-octilo,C16H34S2,6.9579,1935.6,129,196,383
643,1-fenilundecano,C17H28,7.0509,1944.1,153,168,349
644,1-heptadecilo,C17H32,7.48829,2216.2,182,184,384
645,1-heptadeceno,C17H34,7.03925,1877.91,151.53,159,335
646,1-ciclopentildodecano,C17H34,7.0319,1909.1,149,168,346
647,1-ciclohexilundecano,C17H34,7.029,1939.7,154.5,167,349
648,Heptadecano,C17H36,7.0143,1865.1,149.2,161,337
649,1-heptadecanol,C17H36O,6.782,1595,85.06,191,383
650,Butil-tridecil-sulfuro,C17H36S,5.39727,1421.32,205.81,212,434
651,Etil-pentadecil-sulfuro,C17H36S,5.39727,1421.32,205.81,212,434
652,Hexadecilmetilsulfuro,C17H36S,5.39727,1421.32,205.81,212,434
653,Sulfuro-de-propil-tetradecilo,C17H36S,5.39727,1421.32,205.81,212,434
654,1-heptadecanotiol,C17H36S,7.081,2027,135,198,384
655,1-fenildodecano,C18H30,7.0693,1981.6,145.5,181,363
656,Hexaetilbenceno,C18H30,7.50288,2360.733,212.652,134,298
657,1-octadecilo,C18H34,7.50787,2281.1,180,196,400
658,1-octadeceno,C18H36,7.04518,1917.9,145.9,171,350
659,1-cicopentiltridecano,C18H36,7.0473,1947,141.9,180,361
660,1-ciclohexildodecano,C18H36,7.0362,1976.7,148,179,364
661,Octadecano,C18H38,7.0022,1894.3,143.3,172,352
662,1-octadecanol,C18H38O,6.814,1632,80.06,201,385
663,Butil-tetradecil-sulfuro,C18H38S,5.3364,1421.32,205.81,220,452
664,Etil-hexadecil-sulfuro,C18H38S,5.3364,1421.32,205.81,220,452
665,Heptadecil-metil-sulfuro,C18H38S,5.3364,1421.32,205.81,220,452
666,Nonilsulfuro,C18H38S,5.3364,1421.32,205.81,220,452
667,Pentadecil-propil-sulfuro,C18H38S,5.3364,1421.32,205.81,220,452
668,1-octadecanotiol,C18H38S,7.096,2061,129,209,397
669,Nonil-disulfuro,C18H38S2,6.9605,1981.5,117,215,407
670,1-feniltridecano,C19H32,7.0843,2013.9,137.9,193,377
671,1-nonadecina,C19H36,7.51711,2336.7,177,208,416
672,1-nonadeceno,C19H38,7.0571,1961.6,141.2,183,364
673,1-ciclopentiltetradecano,C19H38,7.063,1982,135,192,375
674,1-ciclohexiltridecano,C19H38,7.0469,2012.2,141.5,191,378
675,Nonadecano,C19H40,7.0153,1932.8,137.6,184,366
676,1-nonadecanol,C19H40O,6.60769,1632,80.06,274,395
677,Butil-pentadecil-sulfuro,C19H40S,5.28246,1421.32,205.81,227,468
678,Etil-heptadecil-sulfuro,C19H40S,5.28246,1421.32,205.81,227,468
679,Hexadecil-propil-sulfuro,C19H40S,5.28246,1421.32,205.81,227,468
680,Metil-octadecil-sulfuro,C19H40S,5.28246,1421.32,205.81,227,468
681,1-nonadecanotiol,C19H40S,7.105,2094,124,219,409
682,1-feniltetradecano,C20H34,7.101,2042,130,205,390
683,1-eicosina,C20H38,7.52336,2386.3,174,219,431
684,1-eicoseno,C20H40,7.0577,1995.3,136,193,378
685,1-ciclopentilpentadecano,C20H40,7.083,2016,128,203,388
686,1-ciclohexiltetradecano,C20H40,7.061,2046,135,203,392
687,Eicosano,C20H42,7.1522,2032.7,132.1,198,379
688,1-eicosanol,C20H42O,6.872,1699,70.06,219,406
689,Butil-hexadecil-sulfuro,C20H42S,5.23473,1421.32,205.81,233,484
690,Decil-sulfuro,C20H42S,5.23473,1421.32,205.81,233,484
691,Etil-octadecil-sulfuro,C20H42S,5.23473,1421.32,205.81,233,484
692,Heptadecil-propil-sulfuro,C20H42S,5.23473,1421.32,205.81,233,484
693,Metil-nonadecil-sulfuro,C20H42S,5.23473,1421.32,205.81,233,484
694,1-eicosanotiol,C20H42S,7.114,2125,119,229,421
695,Decil-disulfuro,C20H42S2,6.972,2019,103.1,235,429
696,1-fenilpentadecano,C21H36,7.114,2067,122,216,403
697,1-ciclopentilhexadecano,C21H42,7.103,2048,121,215,401
698,1-ciclohexilpentadecano,C21H42,7.072,2078,129,213,404
699,1-fenilhexadecano,C22H38,7.14,2095,114,227,415
700,1-ciclohexilhexadecano,C22H44,7.074,2099,122,224,416
701,Agua,H2O,8.0713,1730.63,233.426,1,100
